ticker,risk_tag,group_id,sector,country
069500,G3,EQUITY,기타,한국
122630,G1,EQUITY,기타,한국
102110,G3,EQUITY,기타,한국
360750,G3,EQUITY,기타,미국
114800,G1,EQUITY,기타,한국
133690,G3,EQUITY,기타,미국
459580,G6,BOND,기타,한국
379810,G3,EQUITY,기타,미국
252670,G1,EQUITY,기타,한국
379800,G3,EQUITY,기타,미국
233740,G1,EQUITY,기타,한국
229200,G3,EQUITY,기타,한국
396500,G2,EQUITY,반도체,한국
0193T0,G1,EQUITY,반도체,한국
494310,G1,EQUITY,반도체,한국
0167A0,G2,EQUITY,반도체,한국
091160,G2,EQUITY,반도체,한국
488080,G1,EQUITY,반도체,한국
232080,G3,EQUITY,기타,한국
395160,G2,EQUITY,반도체,한국
498400,G3,EQUITY,기타,한국
0197X0,G1,EQUITY,반도체,한국
0195S0,G1,EQUITY,반도체,한국
251340,G1,EQUITY,기타,한국
148020,G3,EQUITY,기타,한국
0193W0,G1,EQUITY,반도체,한국
487240,G2,EQUITY,기타,한국
472150,G3,EQUITY,기타,한국
0162Z0,G4,BOND,반도체,한국
462330,G1,EQUITY,2차전지,한국
475630,G6,BOND,기타,한국
381180,G2,EQUITY,반도체,미국
0195R0,G1,EQUITY,반도체,한국
488770,G6,BOND,기타,한국
395270,G2,EQUITY,반도체,한국
0177N0,G4,BOND,반도체,한국
305720,G2,EQUITY,2차전지,한국
0091P0,G2,EQUITY,기타,한국
442580,G2,EQUITY,반도체,기타
139260,G2,EQUITY,반도체,한국
152100,G3,EQUITY,기타,한국
0219E0,G3,EQUITY,기타,한국
243880,G1,EQUITY,반도체,한국
278530,G3,EQUITY,기타,한국
228790,G2,EQUITY,소비재,한국
455850,G2,EQUITY,반도체,한국
0148J0,G2,EQUITY,기타,한국
0008T0,G2,EQUITY,소비재,한국
226490,G3,EQUITY,기타,한국
364980,G2,EQUITY,2차전지,한국
426030,G3,EQUITY,기타,미국
481050,G6,BOND,기타,한국
390390,G2,EQUITY,반도체,미국
458730,G3,EQUITY,기타,미국
0117V0,G2,EQUITY,기타,한국
411060,G2,COMMODITY,기타,기타
466920,G2,EQUITY,기타,한국
471990,G2,EQUITY,반도체,한국
469150,G2,EQUITY,반도체,한국
486290,G3,EQUITY,기타,미국
248260,G2,EQUITY,바이오와헬스케어,기타
098560,G2,EQUITY,기타,한국
301410,G1,EQUITY,기타,한국
148070,G5,BOND,기타,한국
114260,G5,BOND,기타,한국
273130,G5,BOND,기타,한국
438330,G5,BOND,기타,한국
305080,G5,BOND,기타,미국
464470,G4,BOND,기타,미국
132030,G2,COMMODITY,기타,기타
0072R0,G2,COMMODITY,기타,기타
